image_id,label,variety,age,image_path,is_valid
100771.jpg,hispa,Ponni,60,hispa/100771.jpg,0
103894.jpg,normal,ADT45,60,normal/103894.jpg,0
108943.jpg,blast,AndraPonni,45,blast/108943.jpg,0
109628.jpg,normal,ADT45,60,normal/109628.jpg,0
110058.jpg,tungro,ADT45,60,tungro/110058.jpg,0
109082.jpg,hispa,AtchayaPonni,57,hispa/109082.jpg,0
100331.jpg,tungro,ADT45,72,tungro/100331.jpg,0
107393.jpg,brown_spot,ADT45,55,brown_spot/107393.jpg,0
107668.jpg,brown_spot,ADT45,55,brown_spot/107668.jpg,0
102858.jpg,hispa,AtchayaPonni,65,hispa/102858.jpg,0
101051.jpg,brown_spot,ADT45,68,brown_spot/101051.jpg,0
105582.jpg,brown_spot,ADT45,70,brown_spot/105582.jpg,0
100333.jpg,tungro,ADT45,57,tungro/100333.jpg,0
107095.jpg,dead_heart,ADT45,70,dead_heart/107095.jpg,0
102684.jpg,tungro,ADT45,72,tungro/102684.jpg,0
101916.jpg,hispa,ADT45,70,hispa/101916.jpg,0
110122.jpg,hispa,Onthanel,70,hispa/110122.jpg,0
101280.jpg,brown_spot,ADT45,70,brown_spot/101280.jpg,0
103696.jpg,tungro,ADT45,60,tungro/103696.jpg,0
108069.jpg,dead_heart,ADT45,70,dead_heart/108069.jpg,0
104973.jpg,hispa,AtchayaPonni,57,hispa/104973.jpg,0
105273.jpg,bacterial_leaf_blight,ADT45,50,bacterial_leaf_blight/105273.jpg,0
104233.jpg,blast,KarnatakaPonni,75,blast/104233.jpg,0
109870.jpg,bacterial_leaf_blight,ADT45,72,bacterial_leaf_blight/109870.jpg,0
106703.jpg,normal,ADT45,60,normal/106703.jpg,0
100911.jpg,tungro,ADT45,45,tungro/100911.jpg,0
105906.jpg,hispa,AndraPonni,65,hispa/105906.jpg,0
103615.jpg,bacterial_leaf_blight,ADT45,55,bacterial_leaf_blight/103615.jpg,0
103469.jpg,tungro,ADT45,70,tungro/103469.jpg,0
108967.jpg,downy_mildew,ADT45,60,downy_mildew/108967.jpg,0
102482.jpg,blast,ADT45,60,blast/102482.jpg,0
106071.jpg,brown_spot,ADT45,70,brown_spot/106071.jpg,0
107477.jpg,blast,ADT45,50,blast/107477.jpg,0
108394.jpg,downy_mildew,ADT45,70,downy_mildew/108394.jpg,0
105361.jpg,normal,ADT45,60,normal/105361.jpg,0
110019.jpg,blast,Zonal,70,blast/110019.jpg,0
105564.jpg,bacterial_leaf_streak,ADT45,55,bacterial_leaf_streak/105564.jpg,0
110021.jpg,blast,Ponni,55,blast/110021.jpg,0
108924.jpg,hispa,ADT45,68,hispa/108924.jpg,0
105416.jpg,bacterial_leaf_blight,ADT45,55,bacterial_leaf_blight/105416.jpg,0
109193.jpg,blast,KarnatakaPonni,75,blast/109193.jpg,0
101525.jpg,downy_mildew,ADT45,70,downy_mildew/101525.jpg,0
110090.jpg,bacterial_leaf_blight,ADT45,50,bacterial_leaf_blight/110090.jpg,0
104067.jpg,brown_spot,ADT45,72,brown_spot/104067.jpg,0
109894.jpg,downy_mildew,ADT45,70,downy_mildew/109894.jpg,0
106169.jpg,downy_mildew,Zonal,55,downy_mildew/106169.jpg,0
104086.jpg,bacterial_leaf_blight,ADT45,68,bacterial_leaf_blight/104086.jpg,0
109023.jpg,blast,ADT45,60,blast/109023.jpg,0
101218.jpg,blast,Zonal,70,blast/101218.jpg,0
109627.jpg,brown_spot,ADT45,70,brown_spot/109627.jpg,0
102394.jpg,hispa,ADT45,60,hispa/102394.jpg,0
107932.jpg,brown_spot,ADT45,55,brown_spot/107932.jpg,0
108630.jpg,normal,ADT45,70,normal/108630.jpg,0
103954.jpg,hispa,AndraPonni,65,hispa/103954.jpg,0
109874.jpg,blast,ADT45,70,blast/109874.jpg,0
109522.jpg,dead_heart,ADT45,70,dead_heart/109522.jpg,0
105171.jpg,blast,ADT45,70,blast/105171.jpg,0
109812.jpg,blast,KarnatakaPonni,75,blast/109812.jpg,0
109892.jpg,tungro,ADT45,60,tungro/109892.jpg,0
103278.jpg,hispa,AtchayaPonni,65,hispa/103278.jpg,0
103724.jpg,hispa,AtchayaPonni,57,hispa/103724.jpg,0
104994.jpg,dead_heart,ADT45,70,dead_heart/104994.jpg,0
110052.jpg,tungro,ADT45,60,tungro/110052.jpg,0
100446.jpg,bacterial_panicle_blight,ADT45,70,bacterial_panicle_blight/100446.jpg,0
106569.jpg,blast,KarnatakaPonni,75,blast/106569.jpg,0
107384.jpg,normal,ADT45,60,normal/107384.jpg,0
105579.jpg,bacterial_panicle_blight,ADT45,70,bacterial_panicle_blight/105579.jpg,0
100574.jpg,brown_spot,ADT45,72,brown_spot/100574.jpg,0
108383.jpg,hispa,KarnatakaPonni,50,hispa/108383.jpg,0
101118.jpg,hispa,ADT45,65,hispa/101118.jpg,0
108925.jpg,tungro,ADT45,70,tungro/108925.jpg,0
108487.jpg,bacterial_leaf_blight,ADT45,72,bacterial_leaf_blight/108487.jpg,0
108147.jpg,blast,AtchayaPonni,50,blast/108147.jpg,0
100067.jpg,brown_spot,ADT45,72,brown_spot/100067.jpg,0
101173.jpg,bacterial_leaf_blight,ADT45,50,bacterial_leaf_blight/101173.jpg,0
104464.jpg,blast,KarnatakaPonni,50,blast/104464.jpg,0
107641.jpg,tungro,ADT45,70,tungro/107641.jpg,0
104589.jpg,blast,KarnatakaPonni,75,blast/104589.jpg,0
107850.jpg,dead_heart,AndraPonni,65,dead_heart/107850.jpg,0
102790.jpg,tungro,ADT45,70,tungro/102790.jpg,0
104988.jpg,bacterial_leaf_streak,ADT45,60,bacterial_leaf_streak/104988.jpg,0
104200.jpg,tungro,ADT45,70,tungro/104200.jpg,0
102324.jpg,tungro,ADT45,70,tungro/102324.jpg,0
104093.jpg,brown_spot,ADT45,72,brown_spot/104093.jpg,0
100818.jpg,blast,ADT45,70,blast/100818.jpg,0
108965.jpg,tungro,ADT45,72,tungro/108965.jpg,0
102276.jpg,blast,ADT45,55,blast/102276.jpg,0
108369.jpg,bacterial_panicle_blight,Ponni,80,bacterial_panicle_blight/108369.jpg,0
103805.jpg,bacterial_leaf_streak,Zonal,70,bacterial_leaf_streak/103805.jpg,0
106308.jpg,normal,ADT45,72,normal/106308.jpg,0
105653.jpg,blast,Ponni,47,blast/105653.jpg,0
104309.jpg,blast,KarnatakaPonni,75,blast/104309.jpg,0
103744.jpg,normal,ADT45,65,normal/103744.jpg,0
106905.jpg,hispa,AtchayaPonni,57,hispa/106905.jpg,0
101396.jpg,normal,ADT45,60,normal/101396.jpg,0
103541.jpg,dead_heart,ADT45,80,dead_heart/103541.jpg,0
102010.jpg,blast,AndraPonni,45,blast/102010.jpg,0
100259.jpg,dead_heart,ADT45,70,dead_heart/100259.jpg,0
107509.jpg,normal,ADT45,60,normal/107509.jpg,0
106302.jpg,bacterial_panicle_blight,ADT45,67,bacterial_panicle_blight/106302.jpg,0
101792.jpg,dead_heart,Onthanel,70,dead_heart/101792.jpg,0
102823.jpg,downy_mildew,ADT45,70,downy_mildew/102823.jpg,0
100977.jpg,downy_mildew,ADT45,60,downy_mildew/100977.jpg,0
101177.jpg,downy_mildew,AtchayaPonni,45,downy_mildew/101177.jpg,0
104900.jpg,blast,Ponni,55,blast/104900.jpg,0
102116.jpg,normal,ADT45,70,normal/102116.jpg,0
103471.jpg,downy_mildew,Onthanel,70,downy_mildew/103471.jpg,0
107863.jpg,bacterial_leaf_blight,ADT45,72,bacterial_leaf_blight/107863.jpg,0
109955.jpg,bacterial_panicle_blight,ADT45,80,bacterial_panicle_blight/109955.jpg,0
100598.jpg,blast,KarnatakaPonni,75,blast/100598.jpg,0
101080.jpg,blast,Ponni,55,blast/101080.jpg,0
110024.jpg,blast,ADT45,50,blast/110024.jpg,0
104676.jpg,normal,ADT45,60,normal/104676.jpg,0
109783.jpg,dead_heart,ADT45,70,dead_heart/109783.jpg,0
107092.jpg,hispa,ADT45,70,hispa/107092.jpg,0
107847.jpg,downy_mildew,ADT45,60,downy_mildew/107847.jpg,0
108975.jpg,brown_spot,ADT45,70,brown_spot/108975.jpg,0
101819.jpg,dead_heart,ADT45,73,dead_heart/101819.jpg,0
109904.jpg,dead_heart,ADT45,72,dead_heart/109904.jpg,0
100609.jpg,normal,ADT45,60,normal/100609.jpg,0
104612.jpg,hispa,AndraPonni,65,hispa/104612.jpg,0
103743.jpg,brown_spot,ADT45,70,brown_spot/103743.jpg,0
105309.jpg,bacterial_leaf_streak,Zonal,70,bacterial_leaf_streak/105309.jpg,0
103015.jpg,normal,ADT45,60,normal/103015.jpg,0
108885.jpg,hispa,ADT45,50,hispa/108885.jpg,0
108425.jpg,bacterial_leaf_blight,ADT45,55,bacterial_leaf_blight/108425.jpg,0
104633.jpg,hispa,AndraPonni,65,hispa/104633.jpg,0
101220.jpg,blast,ADT45,50,blast/101220.jpg,0
109928.jpg,dead_heart,Ponni,80,dead_heart/109928.jpg,0
107742.jpg,bacterial_leaf_streak,ADT45,60,bacterial_leaf_streak/107742.jpg,0
100748.jpg,dead_heart,ADT45,73,dead_heart/100748.jpg,0
101567.jpg,blast,Zonal,70,blast/101567.jpg,0
108250.jpg,dead_heart,Ponni,80,dead_heart/108250.jpg,0
102138.jpg,hispa,AndraPonni,65,hispa/102138.jpg,0
108434.jpg,normal,ADT45,60,normal/108434.jpg,0
101980.jpg,normal,ADT45,60,normal/101980.jpg,0
101317.jpg,blast,ADT45,60,blast/101317.jpg,0
105670.jpg,tungro,ADT45,65,tungro/105670.jpg,0
103713.jpg,tungro,ADT45,67,tungro/103713.jpg,0
101429.jpg,tungro,ADT45,70,tungro/101429.jpg,0
101103.jpg,downy_mildew,ADT45,60,downy_mildew/101103.jpg,0
100871.jpg,brown_spot,ADT45,72,brown_spot/100871.jpg,0
105926.jpg,brown_spot,ADT45,55,brown_spot/105926.jpg,0
109480.jpg,normal,ADT45,67,normal/109480.jpg,0
103011.jpg,normal,ADT45,50,normal/103011.jpg,0
100459.jpg,hispa,ADT45,68,hispa/100459.jpg,0
110370.jpg,blast,ADT45,55,blast/110370.jpg,0
105064.jpg,downy_mildew,Zonal,55,downy_mildew/105064.jpg,0
104313.jpg,normal,ADT45,60,normal/104313.jpg,0
101356.jpg,brown_spot,ADT45,55,brown_spot/101356.jpg,0
100340.jpg,hispa,AtchayaPonni,65,hispa/100340.jpg,0
109634.jpg,normal,ADT45,60,normal/109634.jpg,0
100293.jpg,dead_heart,ADT45,75,dead_heart/100293.jpg,0
100618.jpg,hispa,AtchayaPonni,65,hispa/100618.jpg,0
105885.jpg,brown_spot,ADT45,68,brown_spot/105885.jpg,0
105942.jpg,normal,ADT45,60,normal/105942.jpg,0
102868.jpg,hispa,Ponni,60,hispa/102868.jpg,0
107083.jpg,dead_heart,ADT45,75,dead_heart/107083.jpg,0
103161.jpg,blast,ADT45,45,blast/103161.jpg,0
108667.jpg,normal,ADT45,75,normal/108667.jpg,0
103922.jpg,normal,ADT45,60,normal/103922.jpg,0
101616.jpg,normal,ADT45,60,normal/101616.jpg,0
102948.jpg,normal,ADT45,60,normal/102948.jpg,0
105258.jpg,bacterial_panicle_blight,ADT45,75,bacterial_panicle_blight/105258.jpg,0
102729.jpg,normal,ADT45,70,normal/102729.jpg,0
101699.jpg,tungro,ADT45,60,tungro/101699.jpg,0
101873.jpg,bacterial_panicle_blight,Ponni,80,bacterial_panicle_blight/101873.jpg,0
100989.jpg,blast,ADT45,60,blast/100989.jpg,0
107939.jpg,dead_heart,RR,70,dead_heart/107939.jpg,0
100720.jpg,blast,ADT45,60,blast/100720.jpg,0
101115.jpg,normal,ADT45,50,normal/101115.jpg,0
101409.jpg,dead_heart,ADT45,80,dead_heart/101409.jpg,0
109210.jpg,bacterial_leaf_streak,Onthanel,50,bacterial_leaf_streak/109210.jpg,0
104643.jpg,blast,Ponni,47,blast/104643.jpg,0
104646.jpg,dead_heart,RR,70,dead_heart/104646.jpg,0
100768.jpg,normal,Ponni,60,normal/100768.jpg,0
106995.jpg,dead_heart,ADT45,75,dead_heart/106995.jpg,0
102225.jpg,dead_heart,ADT45,72,dead_heart/102225.jpg,0
107063.jpg,dead_heart,IR20,70,dead_heart/107063.jpg,0
